name,number,ad_id
Crèche,1,ad_1149
Ludothèque,1,ad_1149
Autolib',3,ad_1149
Location de vélo,8,ad_1149
Parking,2,ad_1149
Station de taxi,2,ad_1149
Station service,2,ad_1149
Vélib',8,ad_1149
Hôpital,1,ad_1149
Médecin généraliste,37,ad_1149
Médecin spécialiste,158,ad_1149
Pharmacie,8,ad_1149
Bar,13,ad_1649
Restaurant,32,ad_1649
Théâtre,3,ad_1649
Cinéma,1,ad_1649
"Parc, Jardin et Square",3,ad_1649
Terrain et Salle de sport,15,ad_1649
Banque,12,ad_1649
Boucherie,5,ad_1649
Boulangerie,16,ad_1649
Bureau de poste,3,ad_1649
Marché de quartier,2,ad_1649
Presse et Tabac,2,ad_1649
Supérette,5,ad_1649
Supermarché et Hypermarché,12,ad_1649
Collège,8,ad_1649
Ecole maternelle,6,ad_1649
Ecole primaire,10,ad_1649
Lycée,4,ad_1649
Crèche,12,ad_1649
Ludothèque,2,ad_1649
Autolib',9,ad_1649
Location de vélo,12,ad_1649
Station de taxi,3,ad_1649
Station service,8,ad_1649
Vélib',15,ad_1649
Hôpital,1,ad_1649
Médecin généraliste,33,ad_1649
Médecin spécialiste,40,ad_1649
Pharmacie,13,ad_1649
Bar,4,ad_1879
Restaurant,54,ad_1879
Monument historique,5,ad_1879
Théâtre,1,ad_1879
"Parc, Jardin et Square",2,ad_1879
Terrain et Salle de sport,4,ad_1879
Banque,11,ad_1879
Boucherie,6,ad_1879
Boulangerie,9,ad_1879
Bureau de poste,2,ad_1879
Marché de quartier,1,ad_1879
Presse et Tabac,9,ad_1879
Supérette,6,ad_1879
Supermarché et Hypermarché,9,ad_1879
Collège,2,ad_1879
Ecole maternelle,1,ad_1879
Ecole primaire,2,ad_1879
Enseignement supérieur,1,ad_1879
Lycée,4,ad_1879
Crèche,2,ad_1879
Autolib',6,ad_1879
Location de vélo,9,ad_1879
Parking,2,ad_1879
Station de taxi,3,ad_1879
Station service,2,ad_1879
Vélib',9,ad_1879
Médecin généraliste,75,ad_1879
Médecin spécialiste,152,ad_1879
Pharmacie,17,ad_1879
Bar,13,ad_847
Restaurant,32,ad_847
Théâtre,3,ad_847
Cinéma,1,ad_847
"Parc, Jardin et Square",3,ad_847
Terrain et Salle de sport,15,ad_847
Banque,12,ad_847
Boucherie,5,ad_847
Boulangerie,16,ad_847
Bureau de poste,3,ad_847
Marché de quartier,2,ad_847
Presse et Tabac,2,ad_847
Supérette,5,ad_847
Supermarché et Hypermarché,12,ad_847
Collège,8,ad_847
Ecole maternelle,6,ad_847
Ecole primaire,10,ad_847
Lycée,4,ad_847
Crèche,12,ad_847
Ludothèque,2,ad_847
Autolib',9,ad_847
Location de vélo,12,ad_847
Station de taxi,3,ad_847
Station service,8,ad_847
Vélib',15,ad_847
Hôpital,1,ad_847
Médecin généraliste,33,ad_847
Médecin spécialiste,40,ad_847
Pharmacie,13,ad_847
Bar,9,ad_1414
Restaurant,41,ad_1414
Monument historique,9,ad_1414
Cinéma,1,ad_1414
Terrain et Salle de sport,1,ad_1414
Banque,3,ad_1414
Boulangerie,10,ad_1414
Bureau de poste,2,ad_1414
Marché de quartier,1,ad_1414
Presse et Tabac,5,ad_1414
Supérette,2,ad_1414
Supermarché et Hypermarché,4,ad_1414
Ecole primaire,1,ad_1414
Enseignement supérieur,3,ad_1414
Lycée,1,ad_1414
Autolib',5,ad_1414
Location de vélo,6,ad_1414
Parking,6,ad_1414
Station de taxi,2,ad_1414
Station service,2,ad_1414
Vélib',6,ad_1414
Médecin généraliste,19,ad_1414
Médecin spécialiste,36,ad_1414
Pharmacie,7,ad_1414
Bar,13,ad_1369
Restaurant,32,ad_1369
Théâtre,3,ad_1369
Cinéma,1,ad_1369
"Parc, Jardin et Square",3,ad_1369
Terrain et Salle de sport,15,ad_1369
Banque,12,ad_1369
Boucherie,5,ad_1369
Boulangerie,16,ad_1369
Bureau de poste,3,ad_1369
Marché de quartier,2,ad_1369
Presse et Tabac,2,ad_1369
Supérette,5,ad_1369
Supermarché et Hypermarché,12,ad_1369
Collège,8,ad_1369
Ecole maternelle,6,ad_1369
Ecole primaire,10,ad_1369
Lycée,4,ad_1369
Crèche,12,ad_1369
Ludothèque,2,ad_1369
Autolib',9,ad_1369
Location de vélo,12,ad_1369
Station de taxi,3,ad_1369
Station service,8,ad_1369
Vélib',15,ad_1369
Hôpital,1,ad_1369
Médecin généraliste,33,ad_1369
Médecin spécialiste,40,ad_1369
Pharmacie,13,ad_1369
Bar,15,ad_964
Restaurant,89,ad_964
Monument historique,20,ad_964
Théâtre,7,ad_964
Cinéma,1,ad_964
"Parc, Jardin et Square",6,ad_964
Terrain et Salle de sport,4,ad_964
Banque,4,ad_964
Boucherie,6,ad_964
Boulangerie,11,ad_964
Bureau de poste,1,ad_964
Presse et Tabac,6,ad_964
Supérette,7,ad_964
Supermarché et Hypermarché,10,ad_964
Collège,1,ad_964
Ecole maternelle,4,ad_964
Ecole primaire,5,ad_964
Enseignement supérieur,1,ad_964
Lycée,1,ad_964
Crèche,7,ad_964
Autolib',4,ad_964
Location de vélo,10,ad_964
Vélib',11,ad_964
Médecin généraliste,16,ad_964
Médecin spécialiste,12,ad_964
Pharmacie,14,ad_964
Bar,11,ad_1460
Restaurant,62,ad_1460
Monument historique,21,ad_1460
Théâtre,3,ad_1460
Cinéma,4,ad_1460
"Parc, Jardin et Square",15,ad_1460
Terrain et Salle de sport,5,ad_1460
Banque,9,ad_1460
Bureau de poste,1,ad_1460
Presse et Tabac,9,ad_1460
Supérette,2,ad_1460
Supermarché et Hypermarché,4,ad_1460
Collège,2,ad_1460
Ecole primaire,2,ad_1460
Enseignement supérieur,6,ad_1460
Lycée,4,ad_1460
Crèche,2,ad_1460
Autolib',5,ad_1460
Location de vélo,14,ad_1460
Parking,8,ad_1460
Station de taxi,7,ad_1460
Station service,3,ad_1460
Vélib',15,ad_1460
Médecin généraliste,27,ad_1460
Médecin spécialiste,66,ad_1460
Pharmacie,7,ad_1460
Bar,27,ad_1924
Restaurant,42,ad_1924
Monument historique,107,ad_1924
Théâtre,4,ad_1924
Cinéma,1,ad_1924
"Parc, Jardin et Square",11,ad_1924
Terrain et Salle de sport,3,ad_1924
Banque,3,ad_1924
Boucherie,1,ad_1924
Boulangerie,7,ad_1924
Bureau de poste,2,ad_1924
Presse et Tabac,3,ad_1924
Supérette,5,ad_1924
Supermarché et Hypermarché,8,ad_1924
Collège,1,ad_1924
Ecole primaire,3,ad_1924
Enseignement supérieur,1,ad_1924
Lycée,2,ad_1924
Autolib',1,ad_1924
Location de vélo,4,ad_1924
Parking,4,ad_1924
Vélib',5,ad_1924
Médecin généraliste,11,ad_1924
Médecin spécialiste,3,ad_1924
Pharmacie,6,ad_1924
Bar,5,ad_1365
Restaurant,16,ad_1365
Monument historique,1,ad_1365
Théâtre,1,ad_1365
"Parc, Jardin et Square",13,ad_1365
Terrain et Salle de sport,15,ad_1365
Banque,5,ad_1365
Boucherie,3,ad_1365
Boulangerie,14,ad_1365
Bureau de poste,3,ad_1365
Marché de quartier,2,ad_1365
Presse et Tabac,1,ad_1365
Supérette,7,ad_1365
Supermarché et Hypermarché,10,ad_1365
Collège,3,ad_1365
Ecole maternelle,4,ad_1365
Ecole primaire,6,ad_1365
Enseignement supérieur,5,ad_1365
Lycée,3,ad_1365
Crèche,11,ad_1365
Autolib',4,ad_1365
Gare ferroviaire,1,ad_1365
Location de vélo,6,ad_1365
Parking,1,ad_1365
Station de taxi,2,ad_1365
Station service,1,ad_1365
Vélib',7,ad_1365
Hôpital,2,ad_1365
Médecin généraliste,27,ad_1365
Médecin spécialiste,9,ad_1365
Pharmacie,9,ad_1365
Bar,16,ad_620
Restaurant,48,ad_620
Monument historique,19,ad_620
Théâtre,2,ad_620
Cinéma,1,ad_620
"Parc, Jardin et Square",2,ad_620
Terrain et Salle de sport,4,ad_620
Banque,3,ad_620
Boucherie,1,ad_620
Boulangerie,8,ad_620
Bureau de poste,2,ad_620
Presse et Tabac,4,ad_620
Supérette,6,ad_620
Supermarché et Hypermarché,11,ad_620
Ecole maternelle,3,ad_620
Ecole primaire,3,ad_620
Enseignement supérieur,4,ad_620
Lycée,1,ad_620
Crèche,4,ad_620
Autolib',5,ad_620
