ad_id,value
ad_1661,Fibre : déploiement planifié*
ad_1661,3e étage (sur 5)
ad_266,47 m²
ad_266,2 pièces
ad_266,1 chambre
ad_266,Terrasse
ad_266,Chauffage : collectif
ad_266,1 salle d’eau
ad_266,1 WC
ad_266,Fibre : déployée*
ad_266,Rez-de-chaussée
ad_711,73 m²
ad_711,3 pièces
ad_711,2 chambres
ad_711,Exposé Sud Ouest
ad_711,Chauffage : collectif
ad_711,Cave
ad_711,2 salles de bain
ad_711,1 WC
ad_711,2e étage (sur 7)
ad_711,Ascenseur
ad_711,Gardien
ad_1547,155 m²
ad_1547,6 pièces
ad_1547,4 chambres
ad_1547,Exposé Sud Ouest
ad_1547,Cave
ad_1547,Cheminée
ad_1547,2 salles de bain
ad_1547,3 WC
ad_1547,Fibre : déployée*
ad_1547,Calme
ad_1547,Aménagement pour Handicapés
ad_1547,1er étage (sur 8)
ad_1547,Construit en 1934
ad_1547,Ascenseur
ad_1547,Digicode
ad_1547,Interphone
ad_1547,Gardien
ad_754,212 m²
ad_754,5 pièces
ad_754,3 chambres
ad_754,Chauffage : gaz collectif
ad_754,Cave
ad_754,2 salles de bain
ad_754,1 salle d’eau
ad_754,2 WC
ad_754,Fibre : déployée*
ad_754,1 place de parking
ad_754,2e étage (sur 5)
ad_754,Ascenseur
ad_284,24 m²
ad_284,1 pièce
ad_284,1 salle d’eau
ad_284,1 WC
ad_284,Fibre : déployée*
ad_284,Rez-de-chaussée
ad_284,Interphone
ad_1849,53 m²
ad_1849,2 pièces
ad_1849,1 chambre
ad_1849,1 balcon
ad_1849,Cave
ad_1849,1 salle de bain
ad_1849,1 WC
ad_1849,Fibre : déployée*
ad_1849,Calme
ad_1849,6e étage (sur 7)
ad_1849,Construit en 1900
ad_1849,Ascenseur
ad_1849,Digicode
ad_1849,Interphone
ad_1849,Gardien
ad_1783,92 m²
ad_1783,4 pièces
ad_1783,3 chambres
ad_1783,Exposé Sud
ad_1783,Chauffage : radiateur 
ad_1783,Cave
ad_1783,1 salle de bain
ad_1783,1 salle d’eau
ad_1783,8e étage (sur 9)
ad_1783,Ascenseur
ad_1863,170 m²
ad_1863,5 pièces
ad_1863,4 chambres
ad_1863,Exposé Sud
ad_1863,Cave
ad_1863,Cheminée
ad_1863,2 salles d’eau
ad_1863,2 WC
ad_1863,Fibre : déployée*
ad_1863,Calme
ad_1863,Rez-de-chaussée
ad_1863,Construit en 1900
ad_1863,Ascenseur
ad_1863,Digicode
ad_1863,Interphone
ad_1863,Gardien
ad_773,57 m²
ad_773,2 pièces
ad_773,1 chambre
ad_773,1 salle de bain
ad_773,1 WC
ad_773,Fibre : déployée*
ad_773,Dernier étage (sur 3)
ad_773,Construit en 1820
ad_773,Digicode
ad_773,Interphone
ad_583,43 m²
ad_583,3 pièces
ad_583,2 chambres
ad_583,1 salle d’eau
ad_583,1 WC
ad_583,Fibre : déployée*
ad_1516,"153,87 m²"
ad_1516,6 pièces
ad_1516,4 chambres
ad_1516,Chauffage : Radiateur Gaz 
ad_1516,1 cave
ad_1516,Cheminée
ad_1516,Fibre : déployée*
ad_1516,2e étage (sur 7)
ad_1516,Ascenseur
ad_1516,Digicode
ad_1516,Interphone
ad_1516,Gardien
ad_131,34 m²
ad_131,2 pièces
ad_131,1 chambre
ad_131,Cave
ad_131,1 salle d’eau
ad_131,1 WC
ad_131,Dernier étage (sur 6)
ad_131,Digicode
ad_1790,"35,10 m²"
ad_1790,2 pièces
ad_1790,1 chambre
ad_1790,Chauffage : individuel
ad_1790,1 salle de bain
ad_1790,Fibre : déployée*
ad_1790,5e étage (sur 6)
ad_1665,22 m²
ad_1665,1 pièce
ad_1665,Chauffage : électrique 
ad_1665,1 salle d’eau
ad_1665,1 WC
ad_1665,5e étage
ad_1665,Construit en 1899
ad_1665,Gardien
ad_1888,24 m²
ad_1888,1 pièce
ad_1888,1 salle de bain
ad_1751,30 m²
ad_1751,2 pièces
ad_1751,1 chambre
ad_1751,1 salle d’eau
ad_1751,1 WC
ad_1751,Fibre : déployée*
ad_1751,6 étages
ad_1751,Construit en 1910
ad_1751,Digicode
ad_67,176 m²
ad_67,5 pièces
ad_67,2 chambres
ad_67,Exposé Est Ouest
ad_67,Cave
ad_67,1 salle d’eau
ad_67,1 WC
ad_67,Fibre : déployée*
ad_67,2e étage
ad_67,Construit en 1895
ad_67,Ascenseur
ad_1821,70 m²
ad_1821,3 pièces
ad_1821,2 chambres
ad_1821,1 salle de bain
ad_1821,WC séparés
ad_1821,Fibre : déployée*
ad_1821,Dernier étage (sur 4)
ad_1821,Construit en 1850
ad_1821,Digicode
ad_1821,Interphone
ad_1650,"37,02 m²"
ad_1650,1 pièce
ad_1650,Récent
ad_1650,1 salle d’eau
ad_1650,1 WC
ad_1650,Calme
ad_1650,Rez-de-chaussée
ad_1650,Construit en 2002
ad_1650,Ascenseur
ad_1939,"42,10 m²"
ad_1939,2 pièces
ad_1939,1 chambre
ad_1939,1er étage (sur 6)
ad_1939,Ascenseur
ad_1939,Digicode
ad_1939,Interphone
ad_1939,Gardien
ad_971,"47,45 m²"
ad_971,2 pièces
ad_971,1 chambre
ad_971,1 cave
ad_971,Cheminée
ad_971,Fibre : déployée*
ad_971,3e étage (sur 6)
ad_971,Digicode
ad_125,"85,80 m²"
ad_125,4 pièces
ad_125,3 chambres
ad_125,Récent
ad_125,1 balcon
ad_125,Cave
ad_125,1 salle de bain
ad_125,1 salle d’eau
ad_125,2 WC
ad_125,Fibre : déployée*
ad_125,1 place de parking
ad_125,6e étage (sur 8)
ad_125,Construit en 1967
ad_125,Ascenseur
ad_125,Digicode
ad_125,Interphone
ad_1559,107 m²
ad_1559,5 pièces
ad_1559,3 chambres
ad_1559,Chauffage : gaz individuel
ad_1559,Cave
ad_1559,2 salles de bain
ad_1559,Fibre : déployée*
ad_1559,4e étage
ad_1559,Ascenseur
ad_1559,Gardien
ad_1724,34 m²
ad_1724,2 pièces
ad_1724,1 chambre
ad_1724,Chauffage : individuel 
ad_1724,Cave
ad_1724,1 salle de bain
ad_1724,1 WC
ad_1724,Fibre : déployée*
ad_1724,6 étages
ad_1724,Construit en 1930
ad_1724,Ascenseur
ad_1722,300 m²
ad_1722,80 m² de terrain
ad_1722,7 pièces
ad_1722,5 chambres
ad_1722,1 terrasse
ad_1722,Jardin
ad_1722,Cheminée
ad_1722,1 salle de bain
ad_1722,2 salles d’eau
ad_1722,3 WC
ad_1722,Fibre : déployée*
ad_1722,Calme
ad_1722,1er étage (sur 3)
ad_1722,Construit en 1930
ad_1722,Interphone
ad_1788,108 m²
ad_1788,4 pièces
ad_1788,3 chambres
ad_1788,Balcon
ad_1788,Chauffage : gaz individuel
ad_1788,Cave
ad_1788,Cheminée
ad_1788,5e étage (sur 6)
ad_1788,Ascenseur
ad_1788,Interphone
ad_889,"49,20 m²"
ad_889,2 pièces
ad_889,1 chambre
ad_889,Chauffage : collectif 
ad_889,Cave
ad_889,1 salle de bain
ad_889,1 WC
ad_889,Fibre : déployée*
ad_889,2e étage (sur 8)
ad_889,Construit en 1974
ad_889,Ascenseur
ad_120,87 m²
ad_120,4 pièces
ad_120,2 chambres
ad_120,Chauffage : gaz collectif
ad_120,Cave
ad_120,1 salle de bain
ad_120,1 salle d’eau
ad_120,1 WC
ad_120,4e étage (sur 6)
ad_120,Ascenseur
ad_120,Digicode
ad_120,Interphone
ad_1579,55 m²
ad_1579,2 pièces
ad_1579,1 chambre
ad_1579,Récent
ad_1579,Cave
ad_1579,1 salle de bain
ad_1579,1 WC
